%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1774712714391222953,8891,1774712714391222953,map,97,9.686834782499933,-0.00039373337862463626,0.009007092233037958,0.0,0.0,0.8483027525426604,0.5295115107611409,5.890684705279234,0.2572938168223966,-0.00010161280813023197,0.0,0.0,0.0
1774712714411226987,8892,1774712714411226987,map,98,9.80475723619158,4.68592178948235e-16,0.009004758336763957,0.0,0.0,0.8324710185852617,0.5540685907138365,5.798007276415757,0.08680618553504504,-0.00010285042299704617,0.0,0.0,0.0
1774712714431228637,8893,1774712714431228637,map,99,9.920732617478759,-5.221517662690189e-16,0.009002859458355087,0.0,0.0,0.8240568147914645,0.5665071632342754,5.750163403217781,0.08767118587387035,-5.739396200958546e-05,0.0,0.0,0.0
1774712714451227664,8894,1774712714451227664,map,100,10.035751306892648,-9.020562075079397e-17,0.00900202125466541,0.0,0.0,0.8152995566413811,0.5790394053433388,5.704818293000181,0.0884936123359461,-7.055525746834978e-06,0.0,0.0,0.0
1774712714471226692,8895,1774712714471226692,map,101,10.149863770012528,3.2612801348363973e-16,0.00900230950428698,0.0,0.0,0.8061933350933105,0.5916521836781515,5.659588550302435,0.08934422398086483,4.205495360753432e-05,0.0,0.0,0.0
1774712714491226911,8896,1774712714491226911,map,103,10.263076663210558,-0.001210077296479482,0.009003754178913751,0.0,0.0,0.7967274948895996,0.6043387286008924,5.611074444940177,0.27251135536459725,9.576272283493103e-05,0.0,0.0,0.0
1774712714511335849,8897,1774712714511335849,map,104,10.37542598102986,-0.000821802475959657,0.009006430294678569,0.0,0.0,0.7868950495864765,0.6170868503997607,5.568789273346113,0.2748686138389893,0.00015150950563654896,0.0,0.0,0.0
1774712714531303644,8898,1774712714531303644,map,105,10.486933066908202,-0.00044899745256693187,0.00900972755966883,0.0,0.0,0.776687962214476,0.6298855525816771,5.529162538945681,0.27711480104809927,0.0001674790532868852,0.0,0.0,0.0
1774712714551240682,8899,1774712714551240682,map,106,10.597650739701496,-9.126775119338112e-05,0.00901237123063903,0.0,0.0,0.7661122431064171,0.6427068001526466,5.490453845194268,0.2793319274867204,0.00012641322057291884,0.0,0.0,0.0
1774712714571216583,8900,1774712714571216583,map,107,10.707601751078387,-4.873488765322342e-16,0.009013777533550264,0.0,0.0,0.7438232347998789,0.6683763875032123,5.426400186996852,0.09405505175513357,2.6716082056564803e-05,0.0,0.0,0.0
