x_m,y_m
9.343775,-13.869593
9.277143,-13.874157
9.210688,-13.877680
9.149429,-13.882700
9.084638,-13.883863
9.022888,-13.888835
8.957436,-13.889640
8.895325,-13.890161
8.830848,-13.890418
8.784269,-13.890602
8.739902,-13.890993
8.695557,-13.891987
8.645599,-13.892091
8.599218,-13.893412
8.548880,-13.893659
8.499058,-13.894528
8.449036,-13.894675
8.395673,-13.895286
8.345581,-13.895398
8.290089,-13.895754
8.237304,-13.895742
8.182237,-13.895839
8.126587,-13.896022
8.071161,-13.895958
8.019727,-13.895889
7.964248,-13.895851
7.909310,-13.895984
7.854150,-13.895988
7.804149,-13.896043
7.751419,-13.896564
7.701031,-13.896684
7.651304,-13.896826
7.601238,-13.897191
7.546437,-13.897749
7.494391,-13.898011
7.444160,-13.898484
7.391420,-13.898734
7.341028,-13.899349
7.291459,-13.899459
7.242648,-13.900269
7.198196,-13.900404
7.154619,-13.904510
7.113795,-13.904471
7.066113,-13.909117
7.016168,-13.914161
6.968713,-13.919050
6.917838,-13.924016
6.867001,-13.929244
6.810581,-13.933742
6.754615,-13.939079
6.698667,-13.940147
6.639299,-13.945859
6.589741,-13.946723
6.536716,-13.947069
6.491877,-13.947795
6.449588,-13.948248
6.411931,-13.948754
6.367151,-13.954225
6.317321,-13.959225
6.261938,-13.964847
6.209077,-13.969903
6.158060,-13.975535
6.110926,-13.980925
6.053298,-13.986144
5.996613,-13.991767
5.934552,-13.997008
5.884387,-13.999260
5.834508,-14.000199
5.784188,-14.000675
5.737035,-14.002736
5.688091,-14.002944
5.639861,-14.003273
5.599493,-14.003774
5.548094,-14.008310
5.500860,-14.008908
5.450757,-14.012539
5.394942,-14.017354
5.338932,-14.022561
5.277810,-14.025823
5.215995,-14.031154
5.153552,-14.036252
5.084698,-14.041415
5.025143,-14.042090
4.961298,-14.047021
4.900204,-14.047050
4.845146,-14.047607
4.795529,-14.047659
4.746115,-14.048346
4.701717,-14.048304
4.649213,-14.048087
4.603121,-14.048545
4.557461,-14.048669
4.508941,-14.049378
4.465636,-14.049901
4.408950,-14.050240
4.363990,-14.054767
4.313683,-14.059733
4.257821,-14.064996
4.210337,-14.070341
4.156584,-14.075546
4.099500,-14.080905
4.045083,-14.086082
3.983347,-14.091360
3.934321,-14.096370
3.873483,-14.097653
3.818061,-14.097907
3.764462,-14.098040
3.709417,-14.098949
3.653118,-14.098778
3.599505,-14.098702
3.546394,-14.098688
3.495911,-14.098738
3.445735,-14.098171
3.395888,-14.098259
3.342475,-14.098343
3.290983,-14.098338
3.234610,-14.100806
3.180819,-14.100820
3.127601,-14.100824
3.078018,-14.101073
3.033738,-14.100272
2.989822,-14.101308
2.951409,-14.100022
2.913670,-14.100690
2.848566,-14.101171
2.792988,-14.097760
2.731326,-14.097909
2.671821,-14.097785
2.613874,-14.097303
2.552005,-14.097625
2.490184,-14.097095
2.417464,-14.097710
2.347811,-14.091476
2.305994,-14.090485
2.260898,-14.087837
2.216757,-14.087000
2.170504,-14.081127
2.121559,-14.080834
2.067479,-14.081169
2.012108,-14.080836
1.967486,-14.081192
1.918985,-14.086065
1.864268,-14.086653
1.809267,-14.089436
1.758971,-14.089882
1.707574,-14.095646
1.652671,-14.095518
1.601456,-14.095078
1.551686,-14.095252
1.497232,-14.094878
1.445153,-14.095756
1.395920,-14.095558
1.346131,-14.096272
1.295179,-14.096802
1.249050,-14.097372
1.199277,-14.097672
1.161292,-14.098265
1.115476,-14.103016
1.077905,-14.103534
1.027674,-14.108101
0.976854,-14.113446
0.926174,-14.118013
0.871614,-14.123157
0.812054,-14.127954
0.756817,-14.133227
0.688281,-14.138090
0.628313,-14.138554
0.559111,-14.143491
0.504054,-14.143633
0.448305,-14.143709
0.393792,-14.143932
0.343540,-14.143842
0.294488,-14.143940
0.243838,-14.144043
0.189588,-14.144207
0.133727,-14.145099
0.079042,-14.145376
0.022976,-14.146011
-0.031731,-14.146224
-0.088003,-14.146712
-0.143813,-14.146891
-0.200089,-14.147480
-0.258169,-14.147510
-0.310603,-14.148051
-0.363203,-14.147439
-0.417761,-14.146936
-0.470427,-14.147050
-0.520682,-14.146828
-0.575378,-14.146894
-0.630391,-14.146950
-0.680555,-14.146859
-0.729762,-14.147078
-0.777242,-14.147238
-0.823067,-14.147750
-0.864216,-14.150707
-0.905824,-14.150970
-0.955668,-14.155162
-0.997785,-14.158687
-1.042469,-14.163284
-1.089792,-14.167420
-1.142693,-14.173082
-1.192973,-14.178543
-1.249802,-14.184165
-1.312764,-14.187521
-1.370943,-14.193244
-1.426488,-14.195081
-1.479332,-14.199064
-1.530423,-14.200288
-1.582947,-14.205120
-1.633444,-14.209812
-1.685777,-14.214341
-1.735207,-14.219950
-1.782329,-14.225463
-1.829753,-14.231844
-1.874580,-14.237649
-1.929930,-14.245062
-1.984839,-14.255751
-2.041465,-14.263112
-2.096559,-14.268835
-2.154983,-14.275442
-2.214246,-14.280665
-2.275524,-14.286532
-2.340008,-14.290899
-2.403520,-14.296501
-2.464805,-14.298505
-2.525294,-14.299105
-2.585421,-14.299765
-2.641045,-14.300669
-2.698853,-14.300762
-2.751678,-14.301211
-2.798867,-14.300781
-2.851100,-14.301052
-2.909009,-14.300564
-2.964481,-14.300560
-3.019394,-14.300904
-3.074723,-14.300789
-3.125138,-14.300738
-3.176461,-14.300396
-3.224718,-14.300047
-3.277554,-14.302234
-3.330212,-14.305493
-3.380865,-14.309553
-3.433741,-14.314147
-3.484174,-14.317878
-3.573819,-14.300929
-3.706283,-14.272145
-3.842097,-14.226844
-3.989531,-14.162861
-4.136257,-14.080970
-4.277945,-13.992590
-4.413110,-13.892586
