right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
5.722708,-1.264910,0.254606,5.944949,-2.792694,0.254606,5.837231,-2.052194,0.254606
5.655476,-1.276942,0.250629,5.900136,-2.805378,0.250629,5.781073,-2.061567,0.250629
5.600844,-1.288983,0.246377,5.880768,-2.810679,0.246377,5.744244,-2.068518,0.246377
5.540977,-1.305967,0.251407,5.855637,-2.814985,0.251407,5.701883,-2.077626,0.251407
5.480028,-1.321601,0.247732,5.824508,-2.823072,0.247732,5.655950,-2.088385,0.247732
5.417501,-1.338560,0.242510,5.793379,-2.831405,0.242510,5.609316,-2.100377,0.242510
5.361428,-1.355766,0.248076,5.771882,-2.836489,0.248076,5.570855,-2.111280,0.248076
5.311133,-1.377061,0.243864,5.754089,-2.845311,0.243864,5.535949,-2.122250,0.243864
5.255829,-1.398820,0.239961,5.721230,-2.851762,0.239961,5.492128,-2.136524,0.239961
5.211109,-1.419722,0.245081,5.690833,-2.862404,0.245081,5.453968,-2.150077,0.245081
5.193301,-1.430584,0.241374,5.657627,-2.869105,0.241374,5.428477,-2.159178,0.241374
5.160292,-1.441693,0.242645,5.621767,-2.879243,0.242645,5.394377,-2.170897,0.242645
5.132768,-1.452507,0.238805,5.577255,-2.890945,0.238805,5.358531,-2.183116,0.238805
5.118213,-1.464751,0.239694,5.540270,-2.899667,0.239694,5.332043,-2.191734,0.239694
5.086560,-1.476166,0.235378,5.497614,-2.913001,0.235378,5.294611,-2.203405,0.235378
5.048788,-1.487885,0.234055,5.446816,-2.928401,0.234055,5.250171,-2.216717,0.234055
5.006295,-1.499216,0.230120,5.389960,-2.943525,0.230120,5.200646,-2.230852,0.230120
4.957189,-1.511208,0.231974,5.342584,-2.959246,0.231974,5.152295,-2.244276,0.231974
4.897734,-1.529000,0.228036,5.287220,-2.975122,0.228036,5.094756,-2.260524,0.228036
4.836491,-1.551095,0.227970,5.227334,-2.992332,0.227970,5.033565,-2.277806,0.227970
4.784766,-1.572941,0.223044,5.170586,-3.006011,0.223044,4.978754,-2.293480,0.223044
4.735367,-1.590016,0.220476,5.126212,-3.017992,0.220476,4.931560,-2.306819,0.220476
4.671902,-1.607469,0.220271,5.076067,-3.034142,0.220271,4.874738,-2.323464,0.220271
4.619893,-1.625210,0.215798,5.026743,-3.045099,0.215798,4.824344,-2.338736,0.215798
