x_m,y_m
10.056082,-12.465011
10.000809,-12.465139
9.950379,-12.465737
9.899832,-12.466096
9.838128,-12.471728
9.784660,-12.472662
9.728273,-12.477906
9.672467,-12.482696
9.619535,-12.487681
9.569450,-12.492134
9.516341,-12.497275
9.461432,-12.501978
9.411125,-12.506953
9.362734,-12.507498
9.307597,-12.511579
9.258164,-12.512561
9.207624,-12.512532
9.152207,-12.513599
9.101436,-12.514126
9.046827,-12.514816
8.993224,-12.515119
8.932199,-12.515797
8.882176,-12.516070
8.834803,-12.517807
8.790233,-12.517731
8.748709,-12.519834
8.712607,-12.520842
8.674625,-12.521957
8.634854,-12.523029
8.561552,-12.525010
8.489628,-12.530197
8.417493,-12.537187
8.348319,-12.543329
8.276486,-12.550310
8.206407,-12.556946
8.136392,-12.565880
8.069701,-12.572958
8.009603,-12.581589
7.978352,-12.587677
7.953341,-12.592296
7.925339,-12.595379
7.886230,-12.598768
7.844583,-12.602089
7.800885,-12.604703
7.754460,-12.605108
7.701880,-12.607890
7.648974,-12.608376
7.598478,-12.611022
7.544209,-12.611446
7.488699,-12.612257
7.435813,-12.612611
7.388295,-12.612574
7.338316,-12.612911
7.288787,-12.612842
7.238607,-12.613085
7.188263,-12.613212
7.134464,-12.613537
7.087099,-12.618711
7.034339,-12.619266
6.974261,-12.624862
6.924271,-12.626188
6.872461,-12.631714
6.821890,-12.636848
6.773343,-12.642495
6.724114,-12.648212
6.672661,-12.650770
6.617497,-12.651229
6.564945,-12.655402
6.524476,-12.655180
6.468759,-12.659465
6.414854,-12.658599
6.360798,-12.658688
6.306561,-12.657579
6.250896,-12.657247
6.199553,-12.659350
6.147523,-12.658550
6.097371,-12.659062
6.045847,-12.658460
5.996132,-12.658013
5.946740,-12.658781
5.895355,-12.659313
5.836039,-12.661126
5.785504,-12.666147
5.731401,-12.668974
5.677045,-12.674960
5.624337,-12.678364
5.569052,-12.682301
5.516741,-12.688293
5.463811,-12.693271
5.413540,-12.698546
5.372912,-12.702739
5.323202,-12.702980
5.272935,-12.705725
5.224581,-12.706047
5.169062,-12.707876
5.117406,-12.709002
5.064031,-12.709527
5.011111,-12.709189
4.956050,-12.714849
4.894986,-12.715756
4.852875,-12.721545
4.808329,-12.723414
4.755632,-12.723838
4.708371,-12.724642
4.659221,-12.726968
4.608850,-12.727534
4.558790,-12.728815
4.508052,-12.724435
4.463509,-12.724218
4.394472,-12.719885
4.336304,-12.719419
4.282886,-12.719011
4.230104,-12.722750
4.175046,-12.722474
4.121150,-12.721719
4.065624,-12.721248
4.010756,-12.721103
3.955192,-12.721515
3.902052,-12.722739
3.844012,-12.727203
3.786325,-12.729897
3.736186,-12.732499
3.685422,-12.737025
3.635000,-12.742098
3.585604,-12.745151
3.532676,-12.749820
3.477484,-12.754340
3.431136,-12.757889
3.379573,-12.758305
3.326371,-12.761184
3.265581,-12.760887
3.207707,-12.761920
3.139716,-12.767667
3.080781,-12.773354
3.021570,-12.778668
2.965761,-12.783881
2.914696,-12.788877
2.868996,-12.793829
2.827744,-12.798654
2.786160,-12.803289
2.744306,-12.807376
2.710036,-12.807544
2.663195,-12.809391
2.621839,-12.809305
2.577153,-12.809389
2.519207,-12.809291
2.465696,-12.809015
2.408649,-12.809206
2.355362,-12.805795
2.302294,-12.805961
2.253722,-12.802575
2.214150,-12.802710
2.175842,-12.801382
2.143225,-12.798296
2.118971,-12.798173
2.091846,-12.798154
2.065503,-12.793234
1.989587,-12.791068
1.919243,-12.785562
1.847125,-12.783399
1.777399,-12.778251
1.702090,-12.774089
1.629440,-12.772459
1.551239,-12.767038
1.474256,-12.762309
1.400973,-12.762127
1.369533,-12.762265
1.334843,-12.762719
1.295375,-12.762876
1.248862,-12.762906
1.204529,-12.763359
1.156908,-12.762933
1.107794,-12.763302
1.056952,-12.762915
1.002569,-12.762581
0.949101,-12.762313
0.894331,-12.761914
0.842731,-12.761778
0.787385,-12.761474
0.726059,-12.761231
0.664241,-12.761037
0.609491,-12.761158
0.553476,-12.761256
0.491938,-12.761639
0.433649,-12.761284
0.377241,-12.762237
0.321158,-12.762232
0.273741,-12.763303
0.229725,-12.763475
0.186354,-12.764295
0.134724,-12.764289
0.082291,-12.764502
0.032855,-12.764589
-0.017847,-12.765277
-0.073152,-12.764756
-0.131770,-12.765606
-0.189687,-12.764999
-0.248997,-12.766455
-0.310424,-12.766071
-0.366505,-12.766293
-0.424894,-12.766416
-0.480742,-12.766474
-0.535151,-12.766945
-0.594212,-12.771868
-0.648845,-12.772560
-0.707580,-12.777709
-0.759189,-12.778623
-0.814222,-12.783911
-0.869633,-12.788926
-0.919735,-12.794307
-0.969736,-12.799666
-1.023794,-12.804670
-1.067990,-12.805352
-1.113231,-12.809880
-1.163434,-12.810327
-1.219600,-12.813430
-1.270194,-12.813686
-1.325513,-12.813857
-1.380897,-12.813905
-1.436288,-12.813929
-1.488633,-12.814503
-1.548673,-12.819447
-1.605992,-12.823966
-1.658262,-12.829324
-1.713448,-12.834350
-1.766027,-12.839754
-1.819213,-12.845248
-1.869161,-12.850153
-1.918910,-12.855542
-1.965881,-12.860236
-2.005757,-12.860049
-2.048573,-12.860386
-2.093472,-12.860114
-2.137814,-12.861060
-2.192083,-12.861001
-2.249420,-12.860597
-2.305635,-12.861169
-2.361912,-12.861098
-2.420304,-12.861377
-2.476494,-12.861805
-2.531956,-12.862300
-2.586559,-12.862856
-2.635214,-12.862660
-2.693505,-12.863387
-2.749856,-12.868880
-2.804908,-12.870066
-2.859712,-12.875421
-2.909523,-12.876573
-2.958710,-12.877435
-3.002879,-12.879512
-3.044720,-12.881051
-3.083749,-12.883461
-3.102971,-12.885148
-3.114089,-12.880280
