right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z,center_x,center_y,center_z
3.680421,-0.122989,0.291012,2.415490,-0.114069,0.291012,2.928752,-0.120532,0.291012
3.680820,0.127659,0.256433,2.415464,0.137291,0.256433,2.935595,0.128033,0.256433
3.680215,0.374652,0.221139,2.415360,0.373882,0.221139,2.943997,0.376035,0.221139
3.680022,0.626565,0.186195,2.415683,0.633924,0.186195,2.950574,0.624207,0.186195
3.679811,0.876631,0.160078,2.418593,0.880850,0.160078,2.956198,0.873898,0.160078
3.680083,1.129807,0.149695,2.419459,1.124490,0.149695,2.960720,1.131657,0.149695
3.680413,1.377543,0.149064,2.418898,1.374551,0.149064,2.965729,1.381798,0.149064
3.680678,1.630620,0.148994,2.418977,1.627733,0.148994,2.970142,1.634539,0.148994
3.681026,1.880533,0.149000,2.418642,1.887245,0.149000,2.975067,1.885479,0.149000
3.680571,2.134450,0.149008,2.418932,2.137140,0.149008,2.979459,2.136471,0.149008
3.680682,2.387460,0.148991,2.418958,2.390518,0.148991,2.983546,2.386958,0.148991
3.680655,2.638587,0.149194,2.418996,2.637296,0.149194,2.987181,2.637315,0.149194
3.680809,2.891128,0.149231,2.419056,2.887464,0.149231,2.990500,2.888047,0.149231
3.680809,3.098080,0.148991,2.419254,3.134287,0.148991,2.994165,3.139005,0.148991
3.682503,3.225683,0.149795,2.419466,3.387662,0.149795,2.997654,3.389685,0.149795
3.685248,3.271067,0.149319,2.419206,3.624413,0.149319,3.002315,3.640142,0.149319
3.750157,3.277210,0.148882,2.417929,3.883936,0.148882,3.009058,3.890062,0.148882
4.037129,3.968819,0.147283,2.419260,4.156067,0.147283,3.016672,4.140378,0.147283
4.297585,4.699936,0.141966,2.430994,4.442280,0.141966,3.016724,4.390424,0.141966
4.474804,5.467668,0.139392,2.445124,4.636168,0.139392,3.016404,4.641059,0.139392
4.408233,5.590325,0.138988,2.443461,4.837084,0.138988,3.016658,4.891505,0.138988
4.347919,5.720478,0.138994,2.425580,5.037020,0.138994,3.016923,5.141546,0.138994
4.294150,5.859931,0.139050,2.395874,5.323178,0.139050,3.018152,5.391627,0.139050
4.244281,6.011015,0.139017,2.372536,5.560214,0.139017,3.012873,5.641640,0.139017
4.197045,6.194417,0.138992,2.343489,5.794072,0.138992,2.953517,5.884990,0.138992
4.145311,6.414353,0.139012,2.307764,6.007862,0.139012,2.916570,6.132514,0.139012
4.078846,6.693734,0.139064,2.261556,6.224243,0.139064,2.880412,6.380317,0.139064
3.987147,7.004011,0.139194,2.205005,6.424509,0.139194,2.843474,6.627958,0.139194
3.863413,7.337395,0.139003,2.137222,6.609633,0.139003,2.728504,6.850312,0.139003
3.710294,7.656460,0.138987,2.054460,6.787441,0.138987,2.629302,7.080584,0.138987
3.522248,7.968542,0.139080,1.960463,6.949714,0.139080,2.481291,7.282504,0.139080
3.302928,8.261514,0.139002,1.853253,7.092613,0.139002,2.334920,7.485774,0.139002
3.044997,8.542860,0.138992,1.732212,7.223403,0.138992,2.191938,7.691506,0.138992
2.772956,8.784399,0.138993,1.597210,7.341438,0.138993,2.038577,7.889304,0.138993
2.488724,8.995487,0.139067,1.453663,7.444491,0.139067,1.888656,8.090251,0.139067
2.210342,9.165754,0.139109,1.303976,7.533459,0.139109,1.697502,8.252473,0.139109
1.925780,9.309498,0.139159,1.140554,7.617223,0.139159,1.513765,8.422538,0.139159
1.645463,9.427918,0.138993,0.972605,7.690266,0.138993,1.290091,8.534719,0.138993
1.278358,9.533734,0.139004,0.840052,7.743299,0.139004,1.079499,8.670628,0.139004
0.926014,9.598368,0.139062,0.716058,7.769094,0.139062,0.835590,8.727904,0.139062
0.584514,9.630875,0.138991,0.579262,7.773385,0.138991,0.593185,8.791657,0.138991
0.338781,9.628011,0.139014,0.366297,7.769918,0.139014,0.346626,8.835439,0.139014
0.088782,9.622454,0.138989,0.125067,7.764847,0.138989,0.099697,8.879255,0.138989
-0.161831,9.617253,0.139104,-0.134926,7.760259,0.139104,-0.150533,8.882137,0.139104
-0.408652,9.613039,0.139561,-0.381556,7.756353,0.139561,-0.400830,8.891306,0.139561
-0.655093,9.612656,0.139617,-0.627908,7.753859,0.139617,-0.650002,8.864969,0.139617
-0.901784,9.611499,0.139290,-0.874530,7.749416,0.139290,-0.899393,8.838236,0.139290
-1.161433,9.604675,0.138991,-1.127389,7.744721,0.138991,-1.148564,8.815808,0.138991
-1.414877,9.598140,0.139031,-1.370364,7.738607,0.139031,-1.400308,8.785549,0.139031
-1.685943,9.584638,0.138997,-1.617117,7.729575,0.138997,-1.649721,8.759604,0.138997
-1.953452,9.574018,0.139021,-1.838474,7.718596,0.139021,-1.898320,8.728542,0.139021
-2.227389,9.553011,0.139347,-2.074941,7.699942,0.139347,-2.146558,8.698291,0.139347
-2.503015,9.528273,0.139737,-2.284071,7.679668,0.139737,-2.395464,8.668401,0.139737
-2.788887,9.486162,0.139500,-2.509534,7.651000,0.139500,-2.643803,8.639233,0.139500
-3.072946,9.440639,0.138997,-2.715548,7.617887,0.138997,-2.892654,8.610740,0.138997
-3.343189,9.385467,0.139172,-2.923921,7.578449,0.139172,-3.136164,8.550781,0.139172
